,WETH,DAI,ZRX,CRV,UNI,USDT,USDC,OXT,MKR,LINK,REP,REPv2,KNC,COMP,BAND,NMR,UMA,LRC,YFI,REN,WBTC,BAL,NU,AAVE,GRT,BNT,SNX,MANA,LOOM,CVC,STORJ,GNO,ANT,KEEP,MLN,ENS,sUSD,MATIC,APE,1INCH,AERGO,AIOZ,AGLD,BOND,FORTH,ANKR,API3,ARPA,AXS,BADGER,CRO,BAT,GTC,IMX,MASK,AUCTION,PLA,CTSI,PLU,CHZ,NCT,RAI,COTI,SUPER,TRU,YFII,DIA,RBC,ENJ,RARE,TOKE,ERN,FET,FX,GODS,GFI,GLM,FARM,HIGH,IDEX,RLC,INV,KRL,LCX,LQTY,LPT,MIR,MCO2,MUSD,OMG,OGN,TRAC,ORN,UPI,PERP,IOTX,POLS,POLY,QNT,QSP,QUICK,RAD,RLY,RGT,RARI,RNDR,REQ,RBN,FOX,SHPING,SKL,SPELL,SNT,SUKU,SUSHI,TRB,TRIBE,XYO,SLP,DYDX,FXS,KP3R,OCEAN,PAXG,ACH,COVAL,SAND,GUSD,AUDIO,ASH,FTM,INJ,LDO,MC,GALA,CUBE,ALICE,POWR
WETH (0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2),1,1693.1500000000003,5414.88,1593.48,237.715,1693.5800000000002,1693.76,10860.4,1.98148,238.97,194.551,213.834,908.094,31.9638,1181.96,93.4838,544.259,4429.02,0.18168599999999996,12649.4,0.0788019,261.582,9381.53,19.0699,15619.4,3337.1200000000003,559.351,1974.1,17104.7,8520.37,2910.71,9.05184,632.98,9731.98,70.5405,127.50700000000002,1670.15,2154.52,312.213,2450.91,313.956,6364.18,3378.42,82.9376,355.115,39440.1,859.378,2296.25,83.5763,415.88199999999995,11781.2,4589.07,694.739,1035.64,63.2876,4.33609,4449.4,774.205,187.48699999999997,8261.05,82776.8,576.257,17281.1,11983.2,24501.5,1.26085,4246.29,18324.3,2999.75,1688.2,1039.13,964.49,15608.4,211.025,199.68799999999996,1590.61,6603.970000000001,35.8177,1062.96,13264.800000000001,1276.54,16.8104,3445.71,23365.4,1548.21,159.276,8314.38,327.21,1072.7,762.728,9186.71,7675.65,1393.2,97697.6,2224.55,17475.4,3246.01,7227.02,16.555,77984.2,15.378,439.026,48187.6,129.546,602.007,2931.32,14492.7,5560.66,23445.5,7365.73,32506.6,26278.300000000003,57599.7,9025.13,1384.05,26.1909,8896.43,221589,55471,734.064,273.931,12.624800000000002,10011.8,0.968453,12759.8,79566.2,1592.46,1543.74,5474.05,998.492,5417.72,786.32,788.403,2070.47,30315.4,941.675,765.131,7137.99
DAI (0x6B175474E89094C44Da98b954EedeAC495271d0F),0.0005906151256533679,1,3.1981100315979085,0.9411333904261286,0.14039807459469036,1.000253964504031,1.0003602752266483,6.414316510645836,0.0011702920591796354,0.14113929657738533,0.11490476331098837,0.12629359477896226,0.5363340519150694,0.01887830375335912,0.6980834539172547,0.05521294628355431,0.32144759767297637,2.6158462038212797,0.00010730649971945778,7.470926970439711,0.000046541594070224126,0.1544942857986593,5.540873519770841,0.01126297138469716,9.225053893630214,1.9709535481203673,0.330361161149337,1.1659333195523136,10.102294539763161,5.032259398163187,1.7191093523905143,0.005346153618994182,0.37384756223606885,5.747854590556063,0.0416622862711514,0.075307562826684,0.9864158521099724,1.2724921005226941,0.18439772022561499,1.4475445176150958,0.18542716238962878,3.758780970380651,1.9953459528098512,0.04898420104538877,0.20973629034639574,23.293919617281393,0.50756164545374,1.356199982281546,0.04936142692614357,0.24562619968697394,6.958154918347458,2.7103741546821007,0.41032336178129514,0.611664648731654,0.03737861382630009,0.0025609603401943125,2.627882940082095,0.45725718335646576,0.11073265806337297,4.879101083778755,48.88923013318371,0.3403461004636328,10.206479047928415,7.077459173729439,14.470956501195994,0.000744677081180049,2.5079231019106394,10.82260874701001,1.7716977231786903,0.9970764551280157,0.6137258955201842,0.5696423825414169,9.218557127248026,0.12463455689100196,0.11793875321146971,0.9394383250155035,3.900404571361072,0.02115447538611464,0.627800253964504,7.834391518766795,0.7539438325015502,0.009928476508283376,2.0350884446150665,13.799958656941202,0.9143962436878007,0.09407081475356584,4.910598588429849,0.19325517526503852,0.6335528452883677,0.45047869355934195,5.425809880991051,4.533354989221273,0.8228449930602721,57.70168030003248,1.3138528777721996,10.321235566842866,1.917142604022089,4.268387325399403,0.009777633405191504,46.058648081977374,0.009082479402297491,0.2592953961550955,28.46032542893423,0.0765118270678912,0.35555443994920705,1.7312819301302305,8.559607831556566,3.2842099046156568,13.847266928506038,4.350311549478781,19.19888964356377,15.520361456456898,34.01925405309629,5.33037828898798,0.8174408646605438,0.015468741694474791,5.254366122316392,130.87381507840414,32.76201163511797,0.43354930159761385,0.1617877919853527,0.00745639783834864,5.913120515016388,0.0005719829902843811,7.536130880311843,46.993001210761,0.9405309629979622,0.9117561940761302,3.233056728582819,0.5897244780438826,3.1997873785547646,0.46441248560375625,0.4656427369104922,1.2228508992115286,17.90473378023211,0.5561674984496352,0.45189794170628705,4.215804860762484
ZRX (0xE41d2489571d322189246DaFA5ebDe1F4699F498),0.00018467629938244247,0.3126846762993825,1,0.2942779895399344,0.04390032650769731,0.31276408710811693,0.31279732884200573,2.0056584818130783,0.0003659323937003221,0.04413209526342227,0.03592895872115356,0.0394900718021452,0.16770343941139973,0.005902956298200515,0.2182799988180717,0.017264242236208375,0.10051173802558876,0.8179350234908255,0.000033553098129598437,2.3360443814082674,0.000014552843276305292,0.04830799574505806,1.7325462429453655,0.0035217585615932396,2.884532990574122,0.6162869721951364,0.10329887273586857,0.3645694826108797,3.1588326980468637,1.5735104009691814,0.537539151375469,0.0016716603138019679,0.11689640398309845,1.7972660520639423,0.013027158496587182,0.023547520905357094,0.3084371214135863,0.39788878054545995,0.05765834145909052,0.45262498891942204,0.05798023224891411,1.1753132110037527,0.6239141033596313,0.01531660904766126,0.06558132405519605,7.283651715273469,0.15870674881068464,0.4240629524569335,0.015434561800076827,0.07680354873976893,2.1757084182844313,0.8474924652069852,0.1283018275566587,0.19125816269243273,0.011687719764796265,0.0008007730549892151,0.8216987264722395,0.14297731436338387,0.034624405342315985,1.5256201430133263,15.286913098720564,0.10642101025322813,3.1914095972579264,2.2130130307596847,4.524846349318914,0.0002328491120763526,0.7841891233046716,3.3840639127736902,0.5539827290724818,0.31177052861743937,0.19190268297727744,0.17811844399137194,2.8825015512809147,0.03897131607717992,0.03687764087108117,0.2937479685607068,1.2195967408326687,0.006614680288390511,0.19630351919156105,2.4496941760482227,0.23574668321366307,0.0031044824631386112,0.6363409715450759,4.315035605590521,0.2859176934668913,0.02941450226043791,1.535468930059392,0.060427931920929,0.19810226634754605,0.14085778447537156,1.696567606299678,1.4175106373548443,0.25729102029961887,18.04243122654611,0.4108216617912124,3.227292202227935,0.5994611145584021,1.3346593091628993,0.003057316136276335,14.40183346630027,0.0028399521319032004,0.08107769701267618,8.899107644121385,0.02392407587979789,0.11117642496232603,0.5413453299057412,2.676458204059924,1.0269221109239726,4.329828177171055,1.3602757586502379,6.003198593505304,4.852979198061638,10.63729944153887,1.6667276098454629,0.2556012321602695,0.004836838489495612,1.6429597701149425,40.92223650385604,10.244179003043467,0.13556422302987323,0.05058856336613184,0.00233150134444346,1.8489421741571372,0.00017885031616582454,2.356432644860089,14.693991371923294,0.2940896197145643,0.28509219040865175,1.0109272966344593,0.18439780752297372,1.0005244806902462,0.14521466773040215,0.14559934846201578,0.3823667375823656,5.598535886298496,0.1739050542209615,0.1413015616227876,1.3182175782288805
CRV (0xD533a949740bb3306d119CC777fa900bA034cd52),0.0006275572959811231,1.0625486356904388,3.3981474508622638,1,0.14917978261415268,1.0628184853277105,1.062931445640987,6.815523257273389,0.0012434922308406757,0.14996736702060898,0.12209189949042346,0.13419308682882747,0.569881015136682,0.02005911589728142,0.7417476215578482,0.05866644074604011,0.34155370635339005,2.7794638150463142,0.0001140183748776263,7.938223259783618,0.00004945270728217486,0.16415769259733412,5.887447598965786,0.011967454878630419,9.802068428847553,2.0942340035645257,0.35102480106433714,1.2388608579963352,10.734179280568316,5.347020357958682,1.8266372969852147,0.005680548234053769,0.3972312172101313,6.10737505334237,0.04426820543715641,0.08001794813866507,1.0481148178828728,1.3520847453372493,0.19593154605015442,1.5380864522930942,0.19702537841704948,3.993887591937144,2.120152119888546,0.052048095991163994,0.22285500916233653,24.75092250922509,0.5393089339056656,1.4410284408966538,0.05244891683610714,0.2609897833672214,7.393378015412808,2.879904360268092,0.43598852825262946,0.6499234380098904,0.039716595125134924,0.0027211449155307883,2.7922534327384088,0.48585799633506543,0.1176588347516128,5.184282199964857,51.947184777970236,0.361634284710194,10.844880387579385,7.520144589200995,15.376095087481486,0.0007912556166377991,2.6647902703516833,11.499548158746894,1.882514998619374,1.059442227075332,0.6521136129728644,0.6052727364008335,9.79516529859176,0.1324302783844165,0.12531566131987848,0.9981989105605341,4.144369555940457,0.022477658960263075,0.6670683033360946,8.324422019730402,0.8011019906117428,0.010549489168361072,2.1623804503351156,14.663127243517334,0.9715904812109346,0.09995481587468937,5.21774983055953,0.20534302281798328,0.6731807113989507,0.47865552124909,5.765186886562743,4.816910158897507,0.8743128247609007,61.31084167984537,1.3960325827748075,10.966814770188519,2.0370572583276854,4.535369129201496,0.010389211034967491,48.9395536812511,0.00965057609759771,0.27551396942540857,30.240479955819964,0.08129753746517057,0.3777938850817079,1.8395712528553858,9.094999623465622,3.4896327534703917,14.713394582925423,4.6224176017270375,20.399753997539975,16.491138890980746,36.14711198132389,5.663786178678112,0.8685706755026733,0.016436290383311996,5.583019554685343,139.05979365916107,34.81123076536888,0.4606672189170871,0.171907397645405,0.007922785350302483,6.282978135903807,0.0006077597459648066,8.007505585259933,49.932349323493234,0.9993598915580992,0.968785300097899,3.4352800160654673,0.6266109395787836,3.3999297135828503,0.4934608529758767,0.49476805482340536,1.2993385546100358,19.02465045058614,0.590955016693024,0.48016354143133266,4.4794977031402965
UNI (0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984),0.004206718128851776,7.122604799865385,22.778873861556903,6.703321203962728,1,7.124413688660791,7.125170897923984,45.68664156658183,0.008335527837957216,1.0052794312517088,0.8184212186862417,0.8995393643648907,3.8200954925015247,0.1344626969269924,4.972172559577645,0.39325999621395363,2.2895442020907386,18.631638727047097,0.0007643017899585636,53.21246029909766,0.00033149738131796477,1.1004017415813052,39.465452327366805,0.08022169404539048,65.70641314178744,14.03832320215384,2.3530319920913696,8.30448225816629,71.95465157857097,35.84279494352481,12.244536524830153,0.03807853942746566,2.6627684412005976,40.93969669562291,0.2967440001682687,0.5363860084555034,7.025850282901795,9.063458342973728,1.3133920871631997,10.310287529184105,1.3207243968617883,26.772311381275898,14.212060660875418,0.3488951054834571,1.4938687083271984,165.9133836737269,3.6151610121363817,9.65967650337589,0.3515819363523547,1.7494983488631342,49.56018761962855,19.304923963569816,2.922571146120354,4.356645562964054,0.26623309425151964,0.0182407084113329,18.717371642513093,3.2568622089476897,0.7887049618240328,34.75190879835096,348.2186652083377,2.4241507687777375,72.69671665650043,50.409944681656604,103.07090423406179,0.005304040552762762,17.862945123362007,77.0851650085186,12.619102707023115,7.101781545127569,4.371327009233746,4.05733756809625,65.66013924237005,0.8877226931409461,0.8400311297141533,6.691247922932924,27.781040321393267,0.15067496792377427,4.471573102244284,55.80127463559304,5.370043960204446,0.0707166144332499,14.495130723765854,98.29165176787329,6.512883074269609,0.6700292366909956,34.97625307616263,1.3764802389415896,4.5125465368193005,3.208581704982857,38.6458995015039,32.289296005721134,5.860799697116295,410.9862650653093,9.358054813537219,73.51408198893633,13.655049113434155,30.402036051574363,0.06964221862314114,328.05754790400266,0.06469091138548262,1.8468586332372798,202.71165050585782,0.5449635067202322,2.532473760595671,12.331236985465788,60.96670382601013,23.392129230380917,98.62860988999432,30.985549923227392,136.74610352733313,110.54540100540564,242.30570220642363,37.96617798624403,5.8223082262373005,0.11017773384094397,37.42477336306081,932.1624634541362,233.35086132553687,3.08800033653745,1.1523505037544957,0.05310897503312791,42.11682056243821,0.004074008792040889,53.676881980522886,334.7125759838462,6.6990303514713,6.494079044233641,23.027785373241066,4.200374397913468,22.790820941042846,3.3078265990787283,3.3165891929411266,8.709883684243737,127.52834276339313,3.9613612939864957,3.2186904486464885,30.02751193656269
USDT (0xdAC17F958D2ee523a2206206994597C13D831ec7),0.0005904651684597125,0.9997460999775625,3.197298031389128,0.9408944366371828,0.14036242752040057,1,1.0001062837303227,6.412687915539862,0.001169994921999551,0.1411034613068175,0.11487558898900552,0.12626152883241418,0.5361978766872543,0.01887351055161256,0.6979062105126418,0.05519892771525407,0.32136598212071465,2.6151820404114363,0.00010727925459677132,7.469030101914288,0.00004652977715844542,0.15445505969602852,5.539466691859848,0.011260111716009873,9.222711652239633,1.970453122970276,0.33027728244310867,1.1656372890563185,10.099729566952846,5.030981707389081,1.7186728704873697,0.005344796230470364,0.37375264233162886,5.746395210146553,0.04165170821573235,0.07528844223479257,0.986165401102989,1.27216901474982,0.18435090164031226,1.447176986029594,0.18538008242893753,3.7578266158079336,1.994839334427662,0.04897176395564426,0.20968303829757082,23.28800529056791,0.5074327755405709,1.3558556430756148,0.049348894058739476,0.24556383518936215,6.956388242657566,2.7096859906234125,0.4102191806705322,0.6115093470636168,0.0373691233954109,0.0025603101123064754,2.627215720544645,0.4571410857473518,0.1107045430390061,4.877862279904108,48.87681715655594,0.3402596865810885,10.203887622669138,7.075662206686427,14.467282325015647,0.0007444880076524287,2.507286340178793,10.81986088640631,1.7712478890870227,0.9968232973936867,0.6135700705015411,0.5694977503277081,9.216216535386577,0.12460291217421084,0.11790880855938306,0.9391998016037033,3.899414258552888,0.021149104264339448,0.6276408554659361,7.832402366584395,0.7537524061455614,0.009925955667875153,2.034571735613316,13.796454847128567,0.9141640784610116,0.09404693017158919,4.909351787338064,0.19320610777170255,0.6333919862067336,0.4503643170089396,5.424432267740525,4.532203970287792,0.8226360726980715,57.68702984210961,1.3135192904970536,10.318615004900861,1.9166558414719117,4.267303581761712,0.009775150863850541,46.046953790195914,0.00908017336057346,0.2592295610481938,28.45309935166924,0.07649240071328192,0.35546416466892616,1.7308423576093246,8.557434546936076,3.283376043647185,13.843751107122191,4.349207005278759,19.194015045052492,15.516420836334865,34.0106165637289,5.329024905820805,0.8172333164066651,0.015464814180611484,5.253032038640041,130.84058621381925,32.75369335962871,0.4334392234202104,0.1617467140613375,0.00745450465877018,5.911619173584949,0.000571837763790314,7.5342174565122395,46.98106968669918,0.9402921621653538,0.9115246991579966,3.2322358554068895,0.5895747469856752,3.1989749524675544,0.46429457126324114,0.46552451020914276,1.222540417340781,17.90018776792357,0.5560262875092997,0.45178320480874834,4.214734467813743
USDC (0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48),0.0005904024182883053,0.9996398545248443,3.1969582467409787,0.9407944454940488,0.14034751086340452,0.9998937275647082,1,6.412006423578311,0.001169870583789911,0.14108846589835633,0.11486338088040808,0.12624811071226147,0.5361408936331004,0.018871504817683734,0.6978320423200454,0.05519306159078028,0.32133182977517477,2.6149041186472703,0.00010726785376912902,7.468236349896089,0.000046524832325713204,0.15443864538069146,5.538877999244286,0.011258915076516154,9.221731532212356,1.9702437181182697,0.3302421830719819,1.1655134139429435,10.098656244095976,5.0304470527111285,1.718490222935953,0.005344228225958814,0.37371292272813156,5.745784526733422,0.0416472817872662,0.07528044114868696,0.9860605989042132,1.2720338182505195,0.1843313102210467,1.4470231910069904,0.1853603816361232,3.757427262422067,1.9946273379935766,0.04896655960702816,0.20966075477045154,23.28553041753259,0.5073788494237673,1.355711552994521,0.049343649631588896,0.245537738522577,6.955648970338183,2.709398025694313,0.41017558567919893,0.6114443604761006,0.03736515208766295,0.002560038021915738,2.6269365199319856,0.4570925042508975,0.1106927781976195,4.877343897600604,48.871622898167395,0.3402235263555639,10.202803230682033,7.07491025883242,14.465744851690912,0.0007444088890988099,2.507019884753448,10.818711033440394,1.771059654260344,0.9967173625543171,0.6135048649159267,0.5694372284148876,9.215237105611184,0.12458967031928964,0.1178962781031551,0.9390999905535613,3.89899985830342,0.021146856697525036,0.6275741545437371,7.831569998110713,0.7536723030417533,0.009924900812393729,2.0343555167201965,13.79498866427357,0.9140669280181373,0.09403693557528812,4.90883005856792,0.1931855752881164,0.6333246740978652,0.45031645569620254,5.423855800113357,4.53172232193463,0.822548649159267,57.68089930096354,1.3133796996032496,10.317518420555452,1.9164521537880221,4.266850085017949,0.009774112034762894,46.04206026827886,0.00907920838843756,0.25920201209144156,28.45007557150954,0.0764842716795768,0.3554263886264878,1.7306584167768753,8.556525127526923,3.283027111279048,13.842279897978464,4.348744804458719,19.191975250330625,15.514771868505575,34.0070021726809,5.328458577366333,0.817146467031929,0.015463170697147175,5.2524737861326285,130.82668146608728,32.750212544870585,0.4333931607783865,0.16172952484413375,0.007453712450406198,5.910990931418855,0.0005717769931985642,7.533416776875118,46.97607689401096,0.9401922350273947,0.9114278292083885,3.231892357831098,0.5895120914415265,3.198634989608918,0.46424522954846026,0.4654750377857548,1.2224104949933874,17.898285471377292,0.5559671972416399,0.45173519270734935,4.214286557717741
OXT (0x4575f41308EC1483f3d399aa9a2826d74Da13Deb),0.00009207763986593496,0.1559012559390078,0.4985893705572539,0.14672387757357003,0.02188823616073073,0.15594084932415014,0.155957423299326,1,0.0001824500018415528,0.022003793598762478,0.01791379691355751,0.019689330043092337,0.08361515229641635,0.002943151265146772,0.10883208721594048,0.00860776766969909,0.05011408419579389,0.4078137085190233,0.000016729218076682257,1.1647268977201577,0.00000725589296895142,0.024085853191411,0.8638291407314649,0.0017559113844793932,1.4381974881219846,0.3072741335494089,0.05150371993665059,0.1817704688593422,1.5749604066148577,0.7845355603845163,0.26801130713417554,0.0008334720636440647,0.05828330448233952,0.8960977496224817,0.006495202754962985,0.01174054362638577,0.1537834702220913,0.1983831166439542,0.028747836175463157,0.22567400832381862,0.02890832750174948,0.5859986740819859,0.311076940075872,0.007636698464144968,0.03269815108099149,3.631551324076461,0.07912949799270745,0.21143328054215313,0.00769550845272734,0.03829343302272476,1.084785090788553,0.4225507347795661,0.06396992744281979,0.09535928695075689,0.005827372840779345,0.000399256933446282,0.409690250819491,0.07128696917240618,0.017263360465544546,0.7606579868144819,7.6218923796545255,0.05306038451622407,1.5912029022872085,1.103384774041472,2.2560402931752055,0.00011609609222496411,0.390988361386321,1.687258296195352,0.2762099001878384,0.1554454716216714,0.095680637913889,0.08880796287429561,1.437184634083459,0.019430683952708926,0.018386799749548818,0.1464596147471548,0.6080779713454386,0.003298009281426099,0.09787484807189423,1.221391477293654,0.11754079039446061,0.001547861957202313,0.31727284446245074,2.1514308865235168,0.14255552281683917,0.014665758167286658,0.7655684873485323,0.03012872454053258,0.09877168428418844,0.07023019409966484,0.8458905749327833,0.7067557364369637,0.12828256786122058,8.995764428566167,0.20483131376376562,1.6090935877131598,0.29888493978122355,0.6654469448639093,0.0015243453279805532,7.180601082833045,0.0014159699458583478,0.040424477919781966,4.437000478803727,0.01192828993407241,0.05543138374277191,0.2699090272918125,1.3344536112850356,0.5120124488969099,2.1588063054767783,0.6782190342897131,2.993131008066001,2.419643843688999,5.303644432985894,0.8310126698832455,0.12744005745644726,0.002411596257964716,0.8191622776324998,20.403392140252663,5.107638761003279,0.06759088063054768,0.025222919966115427,0.0011624617877794559,0.9218629148097676,0.00008917286656108432,1.1748922691613568,7.326267909100954,0.14662995838090678,0.14214393576663845,0.5040376045081213,0.09193878678501713,0.49885087105447323,0.07240248977938198,0.07259428750322272,0.19064399101322235,2.7913704835917645,0.0867072115207543,0.07045145666826268,0.6572492725866451
MKR (0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2),0.5046732745220744,854.4875547570505,2732.74522074409,804.1867694854352,119.96840745301493,854.7045642650949,854.7954054545088,5480.953630619537,1,120.60177241254011,98.1846902315441,107.91630498415326,458.2907725538487,16.131275612168682,596.5036235541111,47.1787754607667,274.6729717181097,2235.2080263237585,0.0916920685548176,6383.814118739528,0.039769212911561054,132.01344449603326,4734.607465127077,9.624068877808508,7882.693744070089,1684.1552778731052,282.28950077719685,996.2755112340271,8632.284958717726,4300.003028039648,1468.9575468841472,4.568221733249894,319.4480893069827,4911.470214183338,35.59990512142439,64.34937521448614,842.8800694430427,1087.3286634232998,157.56555705836044,1236.9087752588973,158.44520257585242,3211.8315602478956,1704.9982841108667,41.856390173002005,179.21704988190646,19904.364414478066,433.7051093122313,1158.8560066213133,42.17872499343925,209.88453075478935,5945.656781799464,2315.9809839110158,350.61620606819145,522.6598300260413,31.93956032864324,2.188308738922422,2245.493267658518,390.7205725013627,94.61967822032015,4169.131154490583,41775.238710458856,290.821507156267,8721.30932434342,6047.600783252923,12365.252235702606,0.6363172981811576,2142.989078870339,9247.784484324848,1513.8936552475927,851.989422048166,524.4211397541233,486.75232654379556,7877.142338050346,106.49867775602075,100.77719684276398,802.7383571875567,3332.8471647455444,18.07623594484931,536.4475038859842,6694.390051880413,644.2356218584089,8.48375961402588,1738.9577487534573,11791.892928518078,781.3402103478209,80.38234047277794,4196.045380220845,165.13414215636797,541.3630215798293,384.92843732967276,4636.287017784686,3873.6954195853605,703.1108060641541,49305.36770494782,1122.6709328380807,8819.36734158306,1638.1744958313989,3647.2838484365225,8.354866059712942,39356.54157498435,7.760865615600461,221.56468902032827,24318.99388335991,65.37840402123665,303.8168439752104,1479.3588630720471,7314.078365666068,2806.3164907039186,11832.317257807297,3717.287078345479,16405.212265579266,13261.95570987343,29069.029210489127,4554.741910087409,698.4930456022771,13.217847265680199,4489.7904596564185,111830.04622807195,27994.731211013994,370.462482588772,138.24565476310636,6.371399156186286,5052.687889860104,0.48875234673072654,6439.530048246765,40154.93469527828,803.6720027454227,779.0843208107073,2762.606738397562,503.9122272240951,2734.1784928437332,396.83468922219754,397.885923653027,1044.9108746997194,15299.372186446495,475.2382057855744,386.1411672083493,3602.3527868058222
LINK (0x514910771AF9Ca656af840dff83E8264EcF986CA),0.004184625685232456,7.085198978951334,22.659245930451522,6.668117336904214,0.9947482947650333,7.086998367995983,7.087751600619325,45.446708791898565,0.008291752102774406,1,0.8141231116876595,0.894815248775997,3.800033477005482,0.1337565384776332,4.946060174917354,0.3911947106331339,2.2775201908189313,18.533790852408256,0.0007602879022471439,52.93300414277943,0.00032975645478511945,1.0946227559944763,39.25819140477885,0.07980039335481441,65.36134242791982,13.964598066702935,2.3406745616604594,8.260869565217392,71.57676695819559,35.65455914968406,12.180231828262961,0.03787856216261456,2.6487843662384405,40.724693476168554,0.2951855881491401,0.5335690672469349,6.988952588190987,9.015859731347032,1.306494539063481,10.256140938193079,1.313788341632841,26.631711093442693,14.137423107503034,0.3470628112315354,1.4860233502113238,165.04205548813658,3.596175252123698,9.608946729715028,0.34973553165669335,1.7403104992258442,49.29991212286062,19.203540193329705,2.9072226639327114,4.3337657446541415,0.2648349165167176,0.018144913587479605,18.61907352387329,3.239758128635394,0.7845629158471774,34.56940201698958,346.38992342135003,2.411419843494999,72.31493492907059,50.14520651127757,102.52960622672302,0.0052761852952253425,17.769134200945725,76.68033644390509,12.55283089927606,7.0644850818094325,4.348370088295602,4.036029627149851,65.31531154538226,0.8830606352261791,0.8356195338326986,6.656107461187597,27.635142486504588,0.14988366740595058,4.448089718374692,55.50822278947149,5.3418420722266395,0.07034523161903168,14.419006569862328,97.77545298573044,6.4786793321337415,0.6665104406410848,34.79256810478303,1.369251370464912,4.488847972548856,3.1917311796459806,38.44294262878186,32.1197221408545,5.830020504665858,408.8278863455664,9.30890906808386,73.12800769971126,13.583336820521406,30.242373519688666,0.0692764782190233,326.3346863623049,0.06435117378750471,1.8371594760848644,201.6470686697075,0.5421015190191237,2.519173954889735,12.266476963635604,60.646524668368414,23.26928066284471,98.11064150311756,30.822822948487257,136.02795329957735,109.96484914424406,241.03318408168388,37.76679081056199,5.79173117964598,0.10959911285935472,37.22822948487258,927.2670209649747,232.12537138552958,3.0717830690044776,1.1462986985814119,0.05283006235092272,41.8956354354103,0.004052613298740428,53.39498681842909,332.95476419634264,6.663849018705277,6.459974055320752,22.90685023224673,4.178315269699126,22.671130267397587,3.290454868811985,3.299171444114324,8.664141942503242,126.85860149809601,3.940557392141273,3.2017868351675944,29.86981629493242
